[2023-06-30T05:53:54.099+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: name_gender.perform_etl manual__2023-06-30T05:53:53.090042+00:00 [queued]>
[2023-06-30T05:53:54.105+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: name_gender.perform_etl manual__2023-06-30T05:53:53.090042+00:00 [queued]>
[2023-06-30T05:53:54.105+0000] {taskinstance.py:1279} INFO - 
--------------------------------------------------------------------------------
[2023-06-30T05:53:54.105+0000] {taskinstance.py:1280} INFO - Starting attempt 1 of 1
[2023-06-30T05:53:54.105+0000] {taskinstance.py:1281} INFO - 
--------------------------------------------------------------------------------
[2023-06-30T05:53:54.114+0000] {taskinstance.py:1300} INFO - Executing <Task(PythonOperator): perform_etl> on 2023-06-30 05:53:53.090042+00:00
[2023-06-30T05:53:54.117+0000] {standard_task_runner.py:55} INFO - Started process 8620 to run task
[2023-06-30T05:53:54.119+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'name_gender', 'perform_etl', 'manual__2023-06-30T05:53:53.090042+00:00', '--job-id', '123', '--raw', '--subdir', 'DAGS_FOLDER/NameGenderCSVtoRedshift.py', '--cfg-path', '/tmp/tmpw2ek9qbf']
[2023-06-30T05:53:54.119+0000] {standard_task_runner.py:83} INFO - Job 123: Subtask perform_etl
[2023-06-30T05:53:54.156+0000] {task_command.py:388} INFO - Running <TaskInstance: name_gender.perform_etl manual__2023-06-30T05:53:53.090042+00:00 [running]> on host 3e27a434ea90
[2023-06-30T05:53:54.197+0000] {taskinstance.py:1509} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=name_gender
AIRFLOW_CTX_TASK_ID=perform_etl
AIRFLOW_CTX_EXECUTION_DATE=2023-06-30T05:53:53.090042+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2023-06-30T05:53:53.090042+00:00
[2023-06-30T05:53:54.198+0000] {NameGenderCSVtoRedshift.py:20} INFO - Extract started
[2023-06-30T05:53:54.748+0000] {NameGenderCSVtoRedshift.py:22} INFO - Extract done
[2023-06-30T05:53:54.749+0000] {NameGenderCSVtoRedshift.py:27} INFO - Transform started
[2023-06-30T05:53:54.749+0000] {NameGenderCSVtoRedshift.py:33} INFO - Transform ended
[2023-06-30T05:53:54.749+0000] {NameGenderCSVtoRedshift.py:38} INFO - load started
[2023-06-30T05:53:58.823+0000] {logging_mixin.py:137} INFO - Adaleigh - F
[2023-06-30T05:53:58.849+0000] {logging_mixin.py:137} INFO - Amryn - Unisex
[2023-06-30T05:53:58.876+0000] {logging_mixin.py:137} INFO - Apurva - Unisex
[2023-06-30T05:53:58.901+0000] {logging_mixin.py:137} INFO - Aryion - M
[2023-06-30T05:53:58.932+0000] {logging_mixin.py:137} INFO - Alixia - F
[2023-06-30T05:53:58.967+0000] {logging_mixin.py:137} INFO - Alyssarose - F
[2023-06-30T05:53:59.026+0000] {logging_mixin.py:137} INFO - Arvell - M
[2023-06-30T05:53:59.116+0000] {logging_mixin.py:137} INFO - Aibel - M
[2023-06-30T05:53:59.144+0000] {logging_mixin.py:137} INFO - Atiyyah - F
[2023-06-30T05:53:59.173+0000] {logging_mixin.py:137} INFO - Adlie - F
[2023-06-30T05:53:59.201+0000] {logging_mixin.py:137} INFO - Anyely - F
[2023-06-30T05:53:59.254+0000] {logging_mixin.py:137} INFO - Aamoni - F
[2023-06-30T05:53:59.292+0000] {logging_mixin.py:137} INFO - Ahman - M
[2023-06-30T05:53:59.388+0000] {logging_mixin.py:137} INFO - Arlane - F
[2023-06-30T05:53:59.489+0000] {logging_mixin.py:137} INFO - Armoney - F
[2023-06-30T05:53:59.515+0000] {logging_mixin.py:137} INFO - Atzhiry - F
[2023-06-30T05:53:59.544+0000] {logging_mixin.py:137} INFO - Antonette - F
[2023-06-30T05:53:59.570+0000] {logging_mixin.py:137} INFO - Akeelah - F
[2023-06-30T05:53:59.604+0000] {logging_mixin.py:137} INFO - Abdikadir - M
[2023-06-30T05:53:59.634+0000] {logging_mixin.py:137} INFO - Arinze - M
[2023-06-30T05:53:59.660+0000] {logging_mixin.py:137} INFO - Arshaun - M
[2023-06-30T05:53:59.704+0000] {logging_mixin.py:137} INFO - Alexandro - M
[2023-06-30T05:53:59.794+0000] {logging_mixin.py:137} INFO - Ayriauna - F
[2023-06-30T05:53:59.848+0000] {logging_mixin.py:137} INFO - Aqib - M
[2023-06-30T05:53:59.877+0000] {logging_mixin.py:137} INFO - Alleya - F
[2023-06-30T05:53:59.906+0000] {logging_mixin.py:137} INFO - Aavah - F
[2023-06-30T05:53:59.954+0000] {logging_mixin.py:137} INFO - Anesti - Unisex
[2023-06-30T05:53:59.991+0000] {logging_mixin.py:137} INFO - Adalaide - F
[2023-06-30T05:54:00.060+0000] {logging_mixin.py:137} INFO - Analena - F
[2023-06-30T05:54:00.138+0000] {logging_mixin.py:137} INFO - Alaeyah - F
[2023-06-30T05:54:00.167+0000] {logging_mixin.py:137} INFO - Albena - F
[2023-06-30T05:54:00.192+0000] {logging_mixin.py:137} INFO - Aimi - F
[2023-06-30T05:54:00.217+0000] {logging_mixin.py:137} INFO - Adwaith - M
[2023-06-30T05:54:00.246+0000] {logging_mixin.py:137} INFO - Arkady - M
[2023-06-30T05:54:00.273+0000] {logging_mixin.py:137} INFO - Astyn - Unisex
[2023-06-30T05:54:00.305+0000] {logging_mixin.py:137} INFO - Adelee - F
[2023-06-30T05:54:00.390+0000] {logging_mixin.py:137} INFO - Agata - F
[2023-06-30T05:54:00.448+0000] {logging_mixin.py:137} INFO - Alegna - F
[2023-06-30T05:54:00.481+0000] {logging_mixin.py:137} INFO - Altan - M
[2023-06-30T05:54:00.523+0000] {logging_mixin.py:137} INFO - Ahnaleigh - F
[2023-06-30T05:54:00.559+0000] {logging_mixin.py:137} INFO - Algie - Unisex
[2023-06-30T05:54:00.623+0000] {logging_mixin.py:137} INFO - Ashanti - F
[2023-06-30T05:54:00.739+0000] {logging_mixin.py:137} INFO - Aislyn - F
[2023-06-30T05:54:00.810+0000] {logging_mixin.py:137} INFO - Adaleine - F
[2023-06-30T05:54:00.851+0000] {logging_mixin.py:137} INFO - Anthnoy - M
[2023-06-30T05:54:00.888+0000] {logging_mixin.py:137} INFO - Algernon - M
[2023-06-30T05:54:00.946+0000] {logging_mixin.py:137} INFO - Aeryona - F
[2023-06-30T05:54:01.009+0000] {logging_mixin.py:137} INFO - Adrinne - F
[2023-06-30T05:54:01.040+0000] {logging_mixin.py:137} INFO - Addell - F
[2023-06-30T05:54:01.087+0000] {logging_mixin.py:137} INFO - Avril - F
[2023-06-30T05:54:01.153+0000] {logging_mixin.py:137} INFO - Ahni - F
[2023-06-30T05:54:01.188+0000] {logging_mixin.py:137} INFO - Aimon - M
[2023-06-30T05:54:01.235+0000] {logging_mixin.py:137} INFO - Adolpho - M
[2023-06-30T05:54:01.288+0000] {logging_mixin.py:137} INFO - Ahuva - F
[2023-06-30T05:54:01.319+0000] {logging_mixin.py:137} INFO - Aurielle - F
[2023-06-30T05:54:01.355+0000] {logging_mixin.py:137} INFO - Aveana - F
[2023-06-30T05:54:01.419+0000] {logging_mixin.py:137} INFO - Aliyia - F
[2023-06-30T05:54:01.478+0000] {logging_mixin.py:137} INFO - Alesander - M
[2023-06-30T05:54:01.578+0000] {logging_mixin.py:137} INFO - Adnrea - F
[2023-06-30T05:54:01.607+0000] {logging_mixin.py:137} INFO - Anjae - F
[2023-06-30T05:54:01.639+0000] {logging_mixin.py:137} INFO - Alvine - F
[2023-06-30T05:54:01.671+0000] {logging_mixin.py:137} INFO - Adorah - F
[2023-06-30T05:54:01.711+0000] {logging_mixin.py:137} INFO - Adlemi - F
[2023-06-30T05:54:01.810+0000] {logging_mixin.py:137} INFO - Alesi - F
[2023-06-30T05:54:01.883+0000] {logging_mixin.py:137} INFO - Alontae - M
[2023-06-30T05:54:01.912+0000] {logging_mixin.py:137} INFO - Antonny - M
[2023-06-30T05:54:01.945+0000] {logging_mixin.py:137} INFO - Adarah - F
[2023-06-30T05:54:01.988+0000] {logging_mixin.py:137} INFO - Ayreanna - F
[2023-06-30T05:54:02.063+0000] {logging_mixin.py:137} INFO - Antyon - M
[2023-06-30T05:54:02.139+0000] {logging_mixin.py:137} INFO - Andia - F
[2023-06-30T05:54:02.198+0000] {logging_mixin.py:137} INFO - Ashla - F
[2023-06-30T05:54:02.231+0000] {logging_mixin.py:137} INFO - Aspyn - F
[2023-06-30T05:54:02.261+0000] {logging_mixin.py:137} INFO - Antwanett - F
[2023-06-30T05:54:02.295+0000] {logging_mixin.py:137} INFO - Aundreia - F
[2023-06-30T05:54:02.328+0000] {logging_mixin.py:137} INFO - Audella - F
[2023-06-30T05:54:02.395+0000] {logging_mixin.py:137} INFO - Amari - Unisex
[2023-06-30T05:54:02.492+0000] {logging_mixin.py:137} INFO - Arsha - Unisex
[2023-06-30T05:54:02.556+0000] {logging_mixin.py:137} INFO - Aricella - F
[2023-06-30T05:54:02.586+0000] {logging_mixin.py:137} INFO - Adan - M
[2023-06-30T05:54:02.622+0000] {logging_mixin.py:137} INFO - Apasra - F
[2023-06-30T05:54:02.654+0000] {logging_mixin.py:137} INFO - Alaysha - F
[2023-06-30T05:54:02.698+0000] {logging_mixin.py:137} INFO - Anderson - M
[2023-06-30T05:54:02.732+0000] {logging_mixin.py:137} INFO - Aurelius - M
[2023-06-30T05:54:02.788+0000] {logging_mixin.py:137} INFO - Aerial - F
[2023-06-30T05:54:02.849+0000] {logging_mixin.py:137} INFO - Averleigh - F
[2023-06-30T05:54:02.901+0000] {logging_mixin.py:137} INFO - Aslean - F
[2023-06-30T05:54:02.933+0000] {logging_mixin.py:137} INFO - Arniesha - F
[2023-06-30T05:54:02.968+0000] {logging_mixin.py:137} INFO - Asyana - F
[2023-06-30T05:54:03.005+0000] {logging_mixin.py:137} INFO - Annjane - F
[2023-06-30T05:54:03.049+0000] {logging_mixin.py:137} INFO - Amabella - F
[2023-06-30T05:54:03.098+0000] {logging_mixin.py:137} INFO - Austinjohn - M
[2023-06-30T05:54:03.163+0000] {logging_mixin.py:137} INFO - Arloween - F
[2023-06-30T05:54:03.269+0000] {logging_mixin.py:137} INFO - Alula - M
[2023-06-30T05:54:03.339+0000] {logging_mixin.py:137} INFO - Anemone - F
[2023-06-30T05:54:03.371+0000] {logging_mixin.py:137} INFO - Amorina - F
[2023-06-30T05:54:03.412+0000] {logging_mixin.py:137} INFO - Anureet - F
[2023-06-30T05:54:03.458+0000] {logging_mixin.py:137} INFO - Arric - M
[2023-06-30T05:54:03.559+0000] {logging_mixin.py:137} INFO - Antonne - M
[2023-06-30T05:54:03.621+0000] {logging_mixin.py:137} INFO - Alyre - M
[2023-06-30T05:54:03.650+0000] {logging_mixin.py:137} INFO - Annaise - F
[2023-06-30T05:54:03.733+0000] {NameGenderCSVtoRedshift.py:63} INFO - load done
[2023-06-30T05:54:03.733+0000] {python.py:177} INFO - Done. Returned value was: None
[2023-06-30T05:54:03.739+0000] {taskinstance.py:1323} INFO - Marking task as SUCCESS. dag_id=name_gender, task_id=perform_etl, execution_date=20230630T055353, start_date=20230630T055354, end_date=20230630T055403
[2023-06-30T05:54:03.789+0000] {local_task_job.py:208} INFO - Task exited with return code 0
[2023-06-30T05:54:03.846+0000] {taskinstance.py:2578} INFO - 0 downstream tasks scheduled from follow-on schedule check
