[2023-06-30T04:09:14.311+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: name_gender.perform_etl scheduled__2023-06-29T02:00:00+00:00 [queued]>
[2023-06-30T04:09:14.318+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: name_gender.perform_etl scheduled__2023-06-29T02:00:00+00:00 [queued]>
[2023-06-30T04:09:14.318+0000] {taskinstance.py:1279} INFO - 
--------------------------------------------------------------------------------
[2023-06-30T04:09:14.318+0000] {taskinstance.py:1280} INFO - Starting attempt 1 of 1
[2023-06-30T04:09:14.318+0000] {taskinstance.py:1281} INFO - 
--------------------------------------------------------------------------------
[2023-06-30T04:09:14.328+0000] {taskinstance.py:1300} INFO - Executing <Task(PythonOperator): perform_etl> on 2023-06-29 02:00:00+00:00
[2023-06-30T04:09:14.331+0000] {standard_task_runner.py:55} INFO - Started process 107 to run task
[2023-06-30T04:09:14.334+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'name_gender', 'perform_etl', 'scheduled__2023-06-29T02:00:00+00:00', '--job-id', '107', '--raw', '--subdir', 'DAGS_FOLDER/NameGenderCSVtoRedshift.py', '--cfg-path', '/tmp/tmpjb64gg9v']
[2023-06-30T04:09:14.334+0000] {standard_task_runner.py:83} INFO - Job 107: Subtask perform_etl
[2023-06-30T04:09:14.378+0000] {task_command.py:388} INFO - Running <TaskInstance: name_gender.perform_etl scheduled__2023-06-29T02:00:00+00:00 [running]> on host 14de859c71f6
[2023-06-30T04:09:14.429+0000] {taskinstance.py:1509} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=name_gender
AIRFLOW_CTX_TASK_ID=perform_etl
AIRFLOW_CTX_EXECUTION_DATE=2023-06-29T02:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2023-06-29T02:00:00+00:00
[2023-06-30T04:09:14.430+0000] {NameGenderCSVtoRedshift.py:20} INFO - Extract started
[2023-06-30T04:09:15.007+0000] {NameGenderCSVtoRedshift.py:22} INFO - Extract done
[2023-06-30T04:09:15.008+0000] {NameGenderCSVtoRedshift.py:27} INFO - Transform started
[2023-06-30T04:09:15.008+0000] {NameGenderCSVtoRedshift.py:33} INFO - Transform ended
[2023-06-30T04:09:15.008+0000] {NameGenderCSVtoRedshift.py:38} INFO - load started
[2023-06-30T04:09:18.209+0000] {logging_mixin.py:137} INFO - Adaleigh - F
[2023-06-30T04:09:18.237+0000] {logging_mixin.py:137} INFO - Amryn - Unisex
[2023-06-30T04:09:18.263+0000] {logging_mixin.py:137} INFO - Apurva - Unisex
[2023-06-30T04:09:18.288+0000] {logging_mixin.py:137} INFO - Aryion - M
[2023-06-30T04:09:18.316+0000] {logging_mixin.py:137} INFO - Alixia - F
[2023-06-30T04:09:18.341+0000] {logging_mixin.py:137} INFO - Alyssarose - F
[2023-06-30T04:09:18.367+0000] {logging_mixin.py:137} INFO - Arvell - M
[2023-06-30T04:09:18.395+0000] {logging_mixin.py:137} INFO - Aibel - M
[2023-06-30T04:09:18.427+0000] {logging_mixin.py:137} INFO - Atiyyah - F
[2023-06-30T04:09:18.453+0000] {logging_mixin.py:137} INFO - Adlie - F
[2023-06-30T04:09:18.478+0000] {logging_mixin.py:137} INFO - Anyely - F
[2023-06-30T04:09:18.502+0000] {logging_mixin.py:137} INFO - Aamoni - F
[2023-06-30T04:09:18.533+0000] {logging_mixin.py:137} INFO - Ahman - M
[2023-06-30T04:09:18.557+0000] {logging_mixin.py:137} INFO - Arlane - F
[2023-06-30T04:09:18.595+0000] {logging_mixin.py:137} INFO - Armoney - F
[2023-06-30T04:09:18.620+0000] {logging_mixin.py:137} INFO - Atzhiry - F
[2023-06-30T04:09:18.648+0000] {logging_mixin.py:137} INFO - Antonette - F
[2023-06-30T04:09:18.680+0000] {logging_mixin.py:137} INFO - Akeelah - F
[2023-06-30T04:09:18.707+0000] {logging_mixin.py:137} INFO - Abdikadir - M
[2023-06-30T04:09:18.734+0000] {logging_mixin.py:137} INFO - Arinze - M
[2023-06-30T04:09:18.760+0000] {logging_mixin.py:137} INFO - Arshaun - M
[2023-06-30T04:09:18.788+0000] {logging_mixin.py:137} INFO - Alexandro - M
[2023-06-30T04:09:18.815+0000] {logging_mixin.py:137} INFO - Ayriauna - F
[2023-06-30T04:09:18.842+0000] {logging_mixin.py:137} INFO - Aqib - M
[2023-06-30T04:09:18.869+0000] {logging_mixin.py:137} INFO - Alleya - F
[2023-06-30T04:09:18.897+0000] {logging_mixin.py:137} INFO - Aavah - F
[2023-06-30T04:09:18.923+0000] {logging_mixin.py:137} INFO - Anesti - Unisex
[2023-06-30T04:09:18.948+0000] {logging_mixin.py:137} INFO - Adalaide - F
[2023-06-30T04:09:18.976+0000] {logging_mixin.py:137} INFO - Analena - F
[2023-06-30T04:09:19.005+0000] {logging_mixin.py:137} INFO - Alaeyah - F
[2023-06-30T04:09:19.032+0000] {logging_mixin.py:137} INFO - Albena - F
[2023-06-30T04:09:19.058+0000] {logging_mixin.py:137} INFO - Aimi - F
[2023-06-30T04:09:19.086+0000] {logging_mixin.py:137} INFO - Adwaith - M
[2023-06-30T04:09:19.120+0000] {logging_mixin.py:137} INFO - Arkady - M
[2023-06-30T04:09:19.163+0000] {logging_mixin.py:137} INFO - Astyn - Unisex
[2023-06-30T04:09:19.201+0000] {logging_mixin.py:137} INFO - Adelee - F
[2023-06-30T04:09:19.235+0000] {logging_mixin.py:137} INFO - Agata - F
[2023-06-30T04:09:19.284+0000] {logging_mixin.py:137} INFO - Alegna - F
[2023-06-30T04:09:19.331+0000] {logging_mixin.py:137} INFO - Altan - M
[2023-06-30T04:09:19.365+0000] {logging_mixin.py:137} INFO - Ahnaleigh - F
[2023-06-30T04:09:19.399+0000] {logging_mixin.py:137} INFO - Algie - Unisex
[2023-06-30T04:09:19.449+0000] {logging_mixin.py:137} INFO - Ashanti - F
[2023-06-30T04:09:19.483+0000] {logging_mixin.py:137} INFO - Aislyn - F
[2023-06-30T04:09:19.516+0000] {logging_mixin.py:137} INFO - Adaleine - F
[2023-06-30T04:09:19.547+0000] {logging_mixin.py:137} INFO - Anthnoy - M
[2023-06-30T04:09:19.579+0000] {logging_mixin.py:137} INFO - Algernon - M
[2023-06-30T04:09:19.610+0000] {logging_mixin.py:137} INFO - Aeryona - F
[2023-06-30T04:09:19.643+0000] {logging_mixin.py:137} INFO - Adrinne - F
[2023-06-30T04:09:19.682+0000] {logging_mixin.py:137} INFO - Addell - F
[2023-06-30T04:09:19.714+0000] {logging_mixin.py:137} INFO - Avril - F
[2023-06-30T04:09:19.745+0000] {logging_mixin.py:137} INFO - Ahni - F
[2023-06-30T04:09:19.778+0000] {logging_mixin.py:137} INFO - Aimon - M
[2023-06-30T04:09:19.814+0000] {logging_mixin.py:137} INFO - Adolpho - M
[2023-06-30T04:09:19.842+0000] {logging_mixin.py:137} INFO - Ahuva - F
[2023-06-30T04:09:19.870+0000] {logging_mixin.py:137} INFO - Aurielle - F
[2023-06-30T04:09:19.902+0000] {logging_mixin.py:137} INFO - Aveana - F
[2023-06-30T04:09:19.932+0000] {logging_mixin.py:137} INFO - Aliyia - F
[2023-06-30T04:09:19.963+0000] {logging_mixin.py:137} INFO - Alesander - M
[2023-06-30T04:09:20.000+0000] {logging_mixin.py:137} INFO - Adnrea - F
[2023-06-30T04:09:20.036+0000] {logging_mixin.py:137} INFO - Anjae - F
[2023-06-30T04:09:20.066+0000] {logging_mixin.py:137} INFO - Alvine - F
[2023-06-30T04:09:20.098+0000] {logging_mixin.py:137} INFO - Adorah - F
[2023-06-30T04:09:20.128+0000] {logging_mixin.py:137} INFO - Adlemi - F
[2023-06-30T04:09:20.166+0000] {logging_mixin.py:137} INFO - Alesi - F
[2023-06-30T04:09:20.201+0000] {logging_mixin.py:137} INFO - Alontae - M
[2023-06-30T04:09:20.234+0000] {logging_mixin.py:137} INFO - Antonny - M
[2023-06-30T04:09:20.267+0000] {logging_mixin.py:137} INFO - Adarah - F
[2023-06-30T04:09:20.296+0000] {logging_mixin.py:137} INFO - Ayreanna - F
[2023-06-30T04:09:20.326+0000] {logging_mixin.py:137} INFO - Antyon - M
[2023-06-30T04:09:20.369+0000] {logging_mixin.py:137} INFO - Andia - F
[2023-06-30T04:09:20.408+0000] {logging_mixin.py:137} INFO - Ashla - F
[2023-06-30T04:09:20.439+0000] {logging_mixin.py:137} INFO - Aspyn - F
[2023-06-30T04:09:20.471+0000] {logging_mixin.py:137} INFO - Antwanett - F
[2023-06-30T04:09:20.500+0000] {logging_mixin.py:137} INFO - Aundreia - F
[2023-06-30T04:09:20.526+0000] {logging_mixin.py:137} INFO - Audella - F
[2023-06-30T04:09:20.557+0000] {logging_mixin.py:137} INFO - Amari - Unisex
[2023-06-30T04:09:20.591+0000] {logging_mixin.py:137} INFO - Arsha - Unisex
[2023-06-30T04:09:20.627+0000] {logging_mixin.py:137} INFO - Aricella - F
[2023-06-30T04:09:20.658+0000] {logging_mixin.py:137} INFO - Adan - M
[2023-06-30T04:09:20.686+0000] {logging_mixin.py:137} INFO - Apasra - F
