[2023-06-29T09:50:12.552+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: name_gender_v2.perform_etl manual__2023-06-29T09:50:11.306523+00:00 [queued]>
[2023-06-29T09:50:12.557+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: name_gender_v2.perform_etl manual__2023-06-29T09:50:11.306523+00:00 [queued]>
[2023-06-29T09:50:12.557+0000] {taskinstance.py:1279} INFO - 
--------------------------------------------------------------------------------
[2023-06-29T09:50:12.557+0000] {taskinstance.py:1280} INFO - Starting attempt 1 of 2
[2023-06-29T09:50:12.557+0000] {taskinstance.py:1281} INFO - 
--------------------------------------------------------------------------------
[2023-06-29T09:50:12.566+0000] {taskinstance.py:1300} INFO - Executing <Task(PythonOperator): perform_etl> on 2023-06-29 09:50:11.306523+00:00
[2023-06-29T09:50:12.570+0000] {standard_task_runner.py:55} INFO - Started process 218 to run task
[2023-06-29T09:50:12.571+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'name_gender_v2', 'perform_etl', 'manual__2023-06-29T09:50:11.306523+00:00', '--job-id', '91', '--raw', '--subdir', 'DAGS_FOLDER/NameGenderCSVtoRedshift_v2.py', '--cfg-path', '/tmp/tmpa59nwwg5']
[2023-06-29T09:50:12.572+0000] {standard_task_runner.py:83} INFO - Job 91: Subtask perform_etl
[2023-06-29T09:50:12.605+0000] {task_command.py:388} INFO - Running <TaskInstance: name_gender_v2.perform_etl manual__2023-06-29T09:50:11.306523+00:00 [running]> on host 14de859c71f6
[2023-06-29T09:50:12.645+0000] {taskinstance.py:1509} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=name_gender_v2
AIRFLOW_CTX_TASK_ID=perform_etl
AIRFLOW_CTX_EXECUTION_DATE=2023-06-29T09:50:11.306523+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2023-06-29T09:50:11.306523+00:00
[2023-06-29T09:50:12.646+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.7/site-packages/***/utils/context.py:313: AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
  warnings.warn(_create_deprecation_warning(k, replacements))

[2023-06-29T09:50:12.646+0000] {NameGenderCSVtoRedshift_v2.py:76} INFO - 2023-06-29T09:50:11.306523+00:00
[2023-06-29T09:50:12.646+0000] {NameGenderCSVtoRedshift_v2.py:24} INFO - Extract started
[2023-06-29T09:50:13.243+0000] {NameGenderCSVtoRedshift_v2.py:26} INFO - Extract done
[2023-06-29T09:50:13.244+0000] {NameGenderCSVtoRedshift_v2.py:31} INFO - Transform started
[2023-06-29T09:50:13.244+0000] {NameGenderCSVtoRedshift_v2.py:37} INFO - Transform ended
[2023-06-29T09:50:13.244+0000] {NameGenderCSVtoRedshift_v2.py:42} INFO - load started
[2023-06-29T09:50:13.436+0000] {logging_mixin.py:137} INFO - Adaleigh - F
[2023-06-29T09:50:13.469+0000] {logging_mixin.py:137} INFO - Amryn - Unisex
[2023-06-29T09:50:13.496+0000] {logging_mixin.py:137} INFO - Apurva - Unisex
[2023-06-29T09:50:13.524+0000] {logging_mixin.py:137} INFO - Aryion - M
[2023-06-29T09:50:13.551+0000] {logging_mixin.py:137} INFO - Alixia - F
[2023-06-29T09:50:13.581+0000] {logging_mixin.py:137} INFO - Alyssarose - F
[2023-06-29T09:50:13.609+0000] {logging_mixin.py:137} INFO - Arvell - M
[2023-06-29T09:50:13.638+0000] {logging_mixin.py:137} INFO - Aibel - M
[2023-06-29T09:50:13.668+0000] {logging_mixin.py:137} INFO - Atiyyah - F
[2023-06-29T09:50:13.699+0000] {logging_mixin.py:137} INFO - Adlie - F
[2023-06-29T09:50:13.740+0000] {logging_mixin.py:137} INFO - Anyely - F
[2023-06-29T09:50:13.768+0000] {logging_mixin.py:137} INFO - Aamoni - F
[2023-06-29T09:50:13.798+0000] {logging_mixin.py:137} INFO - Ahman - M
[2023-06-29T09:50:13.827+0000] {logging_mixin.py:137} INFO - Arlane - F
[2023-06-29T09:50:13.855+0000] {logging_mixin.py:137} INFO - Armoney - F
[2023-06-29T09:50:13.881+0000] {logging_mixin.py:137} INFO - Atzhiry - F
[2023-06-29T09:50:13.922+0000] {logging_mixin.py:137} INFO - Antonette - F
[2023-06-29T09:50:13.948+0000] {logging_mixin.py:137} INFO - Akeelah - F
[2023-06-29T09:50:13.974+0000] {logging_mixin.py:137} INFO - Abdikadir - M
[2023-06-29T09:50:13.997+0000] {logging_mixin.py:137} INFO - Arinze - M
[2023-06-29T09:50:14.024+0000] {logging_mixin.py:137} INFO - Arshaun - M
[2023-06-29T09:50:14.050+0000] {logging_mixin.py:137} INFO - Alexandro - M
[2023-06-29T09:50:14.084+0000] {logging_mixin.py:137} INFO - Ayriauna - F
[2023-06-29T09:50:14.115+0000] {logging_mixin.py:137} INFO - Aqib - M
[2023-06-29T09:50:14.143+0000] {logging_mixin.py:137} INFO - Alleya - F
[2023-06-29T09:50:14.167+0000] {logging_mixin.py:137} INFO - Aavah - F
[2023-06-29T09:50:14.198+0000] {logging_mixin.py:137} INFO - Anesti - Unisex
[2023-06-29T09:50:14.235+0000] {logging_mixin.py:137} INFO - Adalaide - F
[2023-06-29T09:50:14.264+0000] {logging_mixin.py:137} INFO - Analena - F
[2023-06-29T09:50:14.288+0000] {logging_mixin.py:137} INFO - Alaeyah - F
[2023-06-29T09:50:14.314+0000] {logging_mixin.py:137} INFO - Albena - F
[2023-06-29T09:50:14.341+0000] {logging_mixin.py:137} INFO - Aimi - F
[2023-06-29T09:50:14.368+0000] {logging_mixin.py:137} INFO - Adwaith - M
[2023-06-29T09:50:14.395+0000] {logging_mixin.py:137} INFO - Arkady - M
