[2023-06-29T09:52:28.584+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: name_gender_v2.perform_etl manual__2023-06-29T09:52:27.358655+00:00 [queued]>
[2023-06-29T09:52:28.589+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: name_gender_v2.perform_etl manual__2023-06-29T09:52:27.358655+00:00 [queued]>
[2023-06-29T09:52:28.589+0000] {taskinstance.py:1279} INFO - 
--------------------------------------------------------------------------------
[2023-06-29T09:52:28.589+0000] {taskinstance.py:1280} INFO - Starting attempt 1 of 2
[2023-06-29T09:52:28.589+0000] {taskinstance.py:1281} INFO - 
--------------------------------------------------------------------------------
[2023-06-29T09:52:28.598+0000] {taskinstance.py:1300} INFO - Executing <Task(PythonOperator): perform_etl> on 2023-06-29 09:52:27.358655+00:00
[2023-06-29T09:52:28.602+0000] {standard_task_runner.py:55} INFO - Started process 556 to run task
[2023-06-29T09:52:28.603+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'name_gender_v2', 'perform_etl', 'manual__2023-06-29T09:52:27.358655+00:00', '--job-id', '92', '--raw', '--subdir', 'DAGS_FOLDER/NameGenderCSVtoRedshift_v2.py', '--cfg-path', '/tmp/tmp596dc519']
[2023-06-29T09:52:28.604+0000] {standard_task_runner.py:83} INFO - Job 92: Subtask perform_etl
[2023-06-29T09:52:28.638+0000] {task_command.py:388} INFO - Running <TaskInstance: name_gender_v2.perform_etl manual__2023-06-29T09:52:27.358655+00:00 [running]> on host 14de859c71f6
[2023-06-29T09:52:28.678+0000] {taskinstance.py:1509} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=name_gender_v2
AIRFLOW_CTX_TASK_ID=perform_etl
AIRFLOW_CTX_EXECUTION_DATE=2023-06-29T09:52:27.358655+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2023-06-29T09:52:27.358655+00:00
[2023-06-29T09:52:28.679+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.7/site-packages/***/utils/context.py:313: AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
  warnings.warn(_create_deprecation_warning(k, replacements))

[2023-06-29T09:52:28.679+0000] {NameGenderCSVtoRedshift_v2.py:76} INFO - 2023-06-29T09:52:27.358655+00:00
[2023-06-29T09:52:28.679+0000] {NameGenderCSVtoRedshift_v2.py:24} INFO - Extract started
[2023-06-29T09:52:29.221+0000] {NameGenderCSVtoRedshift_v2.py:26} INFO - Extract done
[2023-06-29T09:52:29.222+0000] {NameGenderCSVtoRedshift_v2.py:31} INFO - Transform started
[2023-06-29T09:52:29.222+0000] {NameGenderCSVtoRedshift_v2.py:37} INFO - Transform ended
[2023-06-29T09:52:29.222+0000] {NameGenderCSVtoRedshift_v2.py:42} INFO - load started
[2023-06-29T09:52:32.509+0000] {logging_mixin.py:137} INFO - Adaleigh - F
[2023-06-29T09:52:32.562+0000] {logging_mixin.py:137} INFO - Amryn - Unisex
[2023-06-29T09:52:32.602+0000] {logging_mixin.py:137} INFO - Apurva - Unisex
[2023-06-29T09:52:32.638+0000] {logging_mixin.py:137} INFO - Aryion - M
[2023-06-29T09:52:32.690+0000] {logging_mixin.py:137} INFO - Alixia - F
[2023-06-29T09:52:32.732+0000] {logging_mixin.py:137} INFO - Alyssarose - F
[2023-06-29T09:52:32.764+0000] {logging_mixin.py:137} INFO - Arvell - M
[2023-06-29T09:52:32.799+0000] {logging_mixin.py:137} INFO - Aibel - M
[2023-06-29T09:52:32.835+0000] {logging_mixin.py:137} INFO - Atiyyah - F
[2023-06-29T09:52:32.871+0000] {logging_mixin.py:137} INFO - Adlie - F
[2023-06-29T09:52:32.906+0000] {logging_mixin.py:137} INFO - Anyely - F
[2023-06-29T09:52:32.953+0000] {logging_mixin.py:137} INFO - Aamoni - F
[2023-06-29T09:52:32.994+0000] {logging_mixin.py:137} INFO - Ahman - M
[2023-06-29T09:52:33.029+0000] {logging_mixin.py:137} INFO - Arlane - F
[2023-06-29T09:52:33.067+0000] {logging_mixin.py:137} INFO - Armoney - F
[2023-06-29T09:52:33.106+0000] {logging_mixin.py:137} INFO - Atzhiry - F
[2023-06-29T09:52:33.143+0000] {logging_mixin.py:137} INFO - Antonette - F
[2023-06-29T09:52:33.190+0000] {logging_mixin.py:137} INFO - Akeelah - F
[2023-06-29T09:52:33.222+0000] {logging_mixin.py:137} INFO - Abdikadir - M
[2023-06-29T09:52:33.261+0000] {logging_mixin.py:137} INFO - Arinze - M
[2023-06-29T09:52:33.298+0000] {logging_mixin.py:137} INFO - Arshaun - M
[2023-06-29T09:52:33.334+0000] {logging_mixin.py:137} INFO - Alexandro - M
[2023-06-29T09:52:33.368+0000] {logging_mixin.py:137} INFO - Ayriauna - F
[2023-06-29T09:52:33.403+0000] {logging_mixin.py:137} INFO - Aqib - M
[2023-06-29T09:52:33.438+0000] {logging_mixin.py:137} INFO - Alleya - F
[2023-06-29T09:52:33.480+0000] {logging_mixin.py:137} INFO - Aavah - F
[2023-06-29T09:52:33.519+0000] {logging_mixin.py:137} INFO - Anesti - Unisex
[2023-06-29T09:52:33.551+0000] {logging_mixin.py:137} INFO - Adalaide - F
[2023-06-29T09:52:33.594+0000] {logging_mixin.py:137} INFO - Analena - F
[2023-06-29T09:52:33.627+0000] {logging_mixin.py:137} INFO - Alaeyah - F
[2023-06-29T09:52:33.655+0000] {logging_mixin.py:137} INFO - Albena - F
[2023-06-29T09:52:33.685+0000] {logging_mixin.py:137} INFO - Aimi - F
[2023-06-29T09:52:33.736+0000] {logging_mixin.py:137} INFO - Adwaith - M
[2023-06-29T09:52:33.771+0000] {logging_mixin.py:137} INFO - Arkady - M
[2023-06-29T09:52:33.800+0000] {logging_mixin.py:137} INFO - Astyn - Unisex
[2023-06-29T09:52:33.829+0000] {logging_mixin.py:137} INFO - Adelee - F
[2023-06-29T09:52:33.863+0000] {logging_mixin.py:137} INFO - Agata - F
[2023-06-29T09:52:33.913+0000] {logging_mixin.py:137} INFO - Alegna - F
[2023-06-29T09:52:33.953+0000] {logging_mixin.py:137} INFO - Altan - M
[2023-06-29T09:52:33.989+0000] {logging_mixin.py:137} INFO - Ahnaleigh - F
[2023-06-29T09:52:34.026+0000] {logging_mixin.py:137} INFO - Algie - Unisex
[2023-06-29T09:52:34.060+0000] {logging_mixin.py:137} INFO - Ashanti - F
[2023-06-29T09:52:34.106+0000] {logging_mixin.py:137} INFO - Aislyn - F
[2023-06-29T09:52:34.160+0000] {logging_mixin.py:137} INFO - Adaleine - F
[2023-06-29T09:52:34.201+0000] {logging_mixin.py:137} INFO - Anthnoy - M
[2023-06-29T09:52:34.250+0000] {logging_mixin.py:137} INFO - Algernon - M
[2023-06-29T09:52:34.288+0000] {logging_mixin.py:137} INFO - Aeryona - F
[2023-06-29T09:52:34.327+0000] {logging_mixin.py:137} INFO - Adrinne - F
[2023-06-29T09:52:34.366+0000] {logging_mixin.py:137} INFO - Addell - F
