[2023-06-30T04:09:14.307+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: name_gender_v2.perform_etl scheduled__2023-06-29T02:00:00+00:00 [queued]>
[2023-06-30T04:09:14.313+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: name_gender_v2.perform_etl scheduled__2023-06-29T02:00:00+00:00 [queued]>
[2023-06-30T04:09:14.313+0000] {taskinstance.py:1279} INFO - 
--------------------------------------------------------------------------------
[2023-06-30T04:09:14.313+0000] {taskinstance.py:1280} INFO - Starting attempt 1 of 2
[2023-06-30T04:09:14.314+0000] {taskinstance.py:1281} INFO - 
--------------------------------------------------------------------------------
[2023-06-30T04:09:14.325+0000] {taskinstance.py:1300} INFO - Executing <Task(PythonOperator): perform_etl> on 2023-06-29 02:00:00+00:00
[2023-06-30T04:09:14.328+0000] {standard_task_runner.py:55} INFO - Started process 106 to run task
[2023-06-30T04:09:14.330+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'name_gender_v2', 'perform_etl', 'scheduled__2023-06-29T02:00:00+00:00', '--job-id', '106', '--raw', '--subdir', 'DAGS_FOLDER/NameGenderCSVtoRedshift_v2.py', '--cfg-path', '/tmp/tmp9sv5sr1g']
[2023-06-30T04:09:14.331+0000] {standard_task_runner.py:83} INFO - Job 106: Subtask perform_etl
[2023-06-30T04:09:14.375+0000] {task_command.py:388} INFO - Running <TaskInstance: name_gender_v2.perform_etl scheduled__2023-06-29T02:00:00+00:00 [running]> on host 14de859c71f6
[2023-06-30T04:09:14.428+0000] {taskinstance.py:1509} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=name_gender_v2
AIRFLOW_CTX_TASK_ID=perform_etl
AIRFLOW_CTX_EXECUTION_DATE=2023-06-29T02:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2023-06-29T02:00:00+00:00
[2023-06-30T04:09:14.429+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.7/site-packages/***/utils/context.py:313: AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
  warnings.warn(_create_deprecation_warning(k, replacements))

[2023-06-30T04:09:14.428+0000] {NameGenderCSVtoRedshift_v2.py:76} INFO - 2023-06-29T02:00:00+00:00
[2023-06-30T04:09:14.429+0000] {NameGenderCSVtoRedshift_v2.py:24} INFO - Extract started
[2023-06-30T04:09:15.010+0000] {NameGenderCSVtoRedshift_v2.py:26} INFO - Extract done
[2023-06-30T04:09:15.011+0000] {NameGenderCSVtoRedshift_v2.py:31} INFO - Transform started
[2023-06-30T04:09:15.011+0000] {NameGenderCSVtoRedshift_v2.py:37} INFO - Transform ended
[2023-06-30T04:09:15.012+0000] {NameGenderCSVtoRedshift_v2.py:42} INFO - load started
[2023-06-30T04:09:15.196+0000] {logging_mixin.py:137} INFO - Adaleigh - F
[2023-06-30T04:09:15.226+0000] {logging_mixin.py:137} INFO - Amryn - Unisex
[2023-06-30T04:09:15.260+0000] {logging_mixin.py:137} INFO - Apurva - Unisex
[2023-06-30T04:09:15.290+0000] {logging_mixin.py:137} INFO - Aryion - M
[2023-06-30T04:09:15.315+0000] {logging_mixin.py:137} INFO - Alixia - F
[2023-06-30T04:09:15.349+0000] {logging_mixin.py:137} INFO - Alyssarose - F
[2023-06-30T04:09:15.380+0000] {logging_mixin.py:137} INFO - Arvell - M
[2023-06-30T04:09:15.408+0000] {logging_mixin.py:137} INFO - Aibel - M
[2023-06-30T04:09:15.433+0000] {logging_mixin.py:137} INFO - Atiyyah - F
[2023-06-30T04:09:15.461+0000] {logging_mixin.py:137} INFO - Adlie - F
[2023-06-30T04:09:15.499+0000] {logging_mixin.py:137} INFO - Anyely - F
[2023-06-30T04:09:15.531+0000] {logging_mixin.py:137} INFO - Aamoni - F
[2023-06-30T04:09:15.562+0000] {logging_mixin.py:137} INFO - Ahman - M
[2023-06-30T04:09:15.589+0000] {logging_mixin.py:137} INFO - Arlane - F
[2023-06-30T04:09:15.617+0000] {logging_mixin.py:137} INFO - Armoney - F
[2023-06-30T04:09:15.650+0000] {logging_mixin.py:137} INFO - Atzhiry - F
[2023-06-30T04:09:15.680+0000] {logging_mixin.py:137} INFO - Antonette - F
[2023-06-30T04:09:15.716+0000] {logging_mixin.py:137} INFO - Akeelah - F
[2023-06-30T04:09:15.743+0000] {logging_mixin.py:137} INFO - Abdikadir - M
[2023-06-30T04:09:15.769+0000] {logging_mixin.py:137} INFO - Arinze - M
[2023-06-30T04:09:15.795+0000] {logging_mixin.py:137} INFO - Arshaun - M
[2023-06-30T04:09:15.827+0000] {logging_mixin.py:137} INFO - Alexandro - M
[2023-06-30T04:09:15.856+0000] {logging_mixin.py:137} INFO - Ayriauna - F
[2023-06-30T04:09:15.882+0000] {logging_mixin.py:137} INFO - Aqib - M
[2023-06-30T04:09:15.909+0000] {logging_mixin.py:137} INFO - Alleya - F
[2023-06-30T04:09:15.935+0000] {logging_mixin.py:137} INFO - Aavah - F
[2023-06-30T04:09:15.966+0000] {logging_mixin.py:137} INFO - Anesti - Unisex
[2023-06-30T04:09:16.004+0000] {logging_mixin.py:137} INFO - Adalaide - F
[2023-06-30T04:09:16.032+0000] {logging_mixin.py:137} INFO - Analena - F
[2023-06-30T04:09:16.068+0000] {logging_mixin.py:137} INFO - Alaeyah - F
[2023-06-30T04:09:16.105+0000] {logging_mixin.py:137} INFO - Albena - F
[2023-06-30T04:09:16.144+0000] {logging_mixin.py:137} INFO - Aimi - F
[2023-06-30T04:09:16.189+0000] {logging_mixin.py:137} INFO - Adwaith - M
[2023-06-30T04:09:16.245+0000] {logging_mixin.py:137} INFO - Arkady - M
[2023-06-30T04:09:16.299+0000] {logging_mixin.py:137} INFO - Astyn - Unisex
[2023-06-30T04:09:16.341+0000] {logging_mixin.py:137} INFO - Adelee - F
[2023-06-30T04:09:16.369+0000] {logging_mixin.py:137} INFO - Agata - F
[2023-06-30T04:09:16.395+0000] {logging_mixin.py:137} INFO - Alegna - F
[2023-06-30T04:09:16.421+0000] {logging_mixin.py:137} INFO - Altan - M
[2023-06-30T04:09:16.448+0000] {logging_mixin.py:137} INFO - Ahnaleigh - F
[2023-06-30T04:09:16.475+0000] {logging_mixin.py:137} INFO - Algie - Unisex
[2023-06-30T04:09:16.501+0000] {logging_mixin.py:137} INFO - Ashanti - F
[2023-06-30T04:09:16.525+0000] {logging_mixin.py:137} INFO - Aislyn - F
[2023-06-30T04:09:16.550+0000] {logging_mixin.py:137} INFO - Adaleine - F
[2023-06-30T04:09:16.582+0000] {logging_mixin.py:137} INFO - Anthnoy - M
[2023-06-30T04:09:16.608+0000] {logging_mixin.py:137} INFO - Algernon - M
[2023-06-30T04:09:16.633+0000] {logging_mixin.py:137} INFO - Aeryona - F
[2023-06-30T04:09:16.660+0000] {logging_mixin.py:137} INFO - Adrinne - F
[2023-06-30T04:09:16.685+0000] {logging_mixin.py:137} INFO - Addell - F
[2023-06-30T04:09:16.731+0000] {logging_mixin.py:137} INFO - Avril - F
[2023-06-30T04:09:16.761+0000] {logging_mixin.py:137} INFO - Ahni - F
[2023-06-30T04:09:16.785+0000] {logging_mixin.py:137} INFO - Aimon - M
[2023-06-30T04:09:16.808+0000] {logging_mixin.py:137} INFO - Adolpho - M
[2023-06-30T04:09:16.835+0000] {logging_mixin.py:137} INFO - Ahuva - F
[2023-06-30T04:09:16.861+0000] {logging_mixin.py:137} INFO - Aurielle - F
[2023-06-30T04:09:16.885+0000] {logging_mixin.py:137} INFO - Aveana - F
[2023-06-30T04:09:16.908+0000] {logging_mixin.py:137} INFO - Aliyia - F
[2023-06-30T04:09:16.931+0000] {logging_mixin.py:137} INFO - Alesander - M
[2023-06-30T04:09:16.954+0000] {logging_mixin.py:137} INFO - Adnrea - F
[2023-06-30T04:09:16.982+0000] {logging_mixin.py:137} INFO - Anjae - F
[2023-06-30T04:09:17.013+0000] {logging_mixin.py:137} INFO - Alvine - F
[2023-06-30T04:09:17.037+0000] {logging_mixin.py:137} INFO - Adorah - F
[2023-06-30T04:09:17.064+0000] {logging_mixin.py:137} INFO - Adlemi - F
[2023-06-30T04:09:17.098+0000] {logging_mixin.py:137} INFO - Alesi - F
